Timestamp,User,Event Type,Details
2026-04-23 15:26:46,user,Login,Successfully signed in
2026-04-23 15:38:10,admin,Login,Successfully signed in
2026-04-23 15:57:04,admin,Login,Successfully signed in
2026-04-23 16:04:14,admin,Login,Successfully signed in
2026-04-23 16:21:42,admin,Login,Successfully signed in
2026-04-23 16:24:59,admin,Login,Successfully signed in
2026-05-25 10:07:37,admin,Login,Successfully signed in
2026-05-25 10:08:27,admin,Login,Successfully signed in
2026-05-25 10:09:25,admin,Processing,File: fs_Your Chang_2025_v.docx (Lang: E)
2026-05-25 10:27:54,admin,Template Mgmt,Uploaded and synced ParaTemplate.xlsx
2026-05-25 10:28:08,admin,Login,Successfully signed in
2026-05-25 10:28:25,admin,Processing,File: fs_Your Chang_2025_v.docx (Lang: E)
2026-05-25 10:32:08,admin,Template Mgmt,Uploaded and synced ParaTemplate.xlsx
2026-05-25 10:32:17,admin,Login,Successfully signed in
2026-05-25 10:32:33,admin,Processing,File: fs_Your Chang_2025_v.docx (Lang: E)
2026-05-31 10:34:48,user,Login,Successfully signed in
2026-05-31 10:48:06,user,Login,Successfully signed in
2026-05-31 10:51:04,user,Login,Successfully signed in
2026-05-31 10:53:23,user,Login,Successfully signed in
